hour_of_year,month,hour,lrmer_co2e_c,synthetic
812,2,20,311.78216665327795,False
813,2,21,306.45402871889274,False
814,2,22,304.0984248160829,False
815,2,23,304.9232022759132,False
816,2,0,313.622391191355,False
817,2,1,315.7540760450616,False
818,2,2,317.09027923170396,False
819,2,3,325.8804854695732,False
820,2,4,318.9856058821759,False
821,2,5,307.0637023275575,False
822,2,6,307.48719155006864,False
823,2,7,217.84287338487752,False
824,2,8,179.1152232483948,False
825,2,9,171.6217410628094,False
826,2,10,176.54610649248025,False
827,2,11,172.3421754585051,False
828,2,12,179.47682540376402,False
829,2,13,172.23209064079325,False
830,2,14,176.16380246509726,False
831,2,15,186.61078454415585,False
832,2,16,199.96810466522487,False
833,2,17,303.0335441465007,False
834,2,18,321.6933807272263,False
835,2,19,321.162497256616,False
836,2,20,311.78216665327795,False
837,2,21,306.45402871889274,False
838,2,22,304.0984248160829,False
839,2,23,304.9232022759132,False
840,2,0,313.622391191355,False
841,2,1,315.7540760450616,False
842,2,2,317.09027923170396,False
843,2,3,325.8804854695732,False
844,2,4,318.9856058821759,False
845,2,5,307.0637023275575,False
846,2,6,307.48719155006864,False
847,2,7,217.84287338487752,False
848,2,8,179.1152232483948,False
849,2,9,171.6217410628094,False
850,2,10,176.54610649248025,False
851,2,11,172.3421754585051,False
852,2,12,179.47682540376402,False
853,2,13,172.23209064079325,False
854,2,14,176.16380246509726,False
855,2,15,186.61078454415585,False
856,2,16,199.96810466522487,False
857,2,17,303.0335441465007,False
858,2,18,321.6933807272263,False
859,2,19,321.162497256616,False
860,2,20,311.78216665327795,False
861,2,21,306.45402871889274,False
862,2,22,304.0984248160829,False
863,2,23,304.9232022759132,False
864,2,0,313.622391191355,False
865,2,1,315.7540760450616,False
866,2,2,317.09027923170396,False
867,2,3,325.8804854695732,False
